timestamp,kind,source,message
2026-09-21 00:58:10.241,info,ui,AymashTain LED RGB Remote 1.0.0 started
2026-09-21 00:58:18.045,ble,ble,Connecting to GATT--DEMO (41:42:F9:D7:45:B0)…
2026-09-21 00:58:18.465,ble,ble,Connecting to GATT--DEMO (41:42:59:F1:C8:68)…
2026-09-21 00:58:18.467,ble,ble,Connecting to GATT--DEMO (41:42:43:E7:8B:F6)…
2026-09-21 00:58:22.855,ble,ble,Connected GATT--DEMO → write char 0000fff3-0000-1000-8000-00805f9b34fb
2026-09-21 00:58:23.546,ble,ble,Connected GATT--DEMO → write char 0000fff3-0000-1000-8000-00805f9b34fb
2026-09-21 00:58:24.670,ble,ble,Connected GATT--DEMO → write char 0000fff3-0000-1000-8000-00805f9b34fb
2026-09-21 00:58:33.587,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:33.588,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:33.588,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:33.592,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:33.594,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:33.594,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:33.848,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:33.849,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:33.849,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:33.852,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:33.853,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:33.854,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:34.093,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:34.095,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:34.108,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:34.109,send,ble,GATT--DEMO ← BC040600B403E8000055 (color)
2026-09-21 00:58:34.111,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:34.112,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:41.743,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:41.746,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:41.811,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:41.814,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:41.873,send,ble,GATT--DEMO ← BC0406000003E8000055 (color)
2026-09-21 00:58:41.876,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:43.476,send,ble,GATT--DEMO ← BC040600F003E8000055 (color)
2026-09-21 00:58:43.479,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:43.560,send,ble,GATT--DEMO ← BC040600F003E8000055 (color)
2026-09-21 00:58:43.564,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:43.633,send,ble,GATT--DEMO ← BC040600F003E8000055 (color)
2026-09-21 00:58:43.636,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:45.289,send,ble,GATT--DEMO ← BC0406001A03E8000055 (color)
2026-09-21 00:58:45.292,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:45.365,send,ble,GATT--DEMO ← BC0406001A03E8000055 (color)
2026-09-21 00:58:45.368,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 00:58:45.426,send,ble,GATT--DEMO ← BC0406001A03E8000055 (color)
2026-09-21 00:58:45.428,send,ble,GATT--DEMO ← BC050604000000000055 (brightness)
2026-09-21 01:01:45.309,camera,ui,Preview started on camera 0
2026-09-21 01:07:55.215,send,ble,GATT--DEMO ← BC0406000003E8000055 (sweep:hue)
2026-09-21 01:07:55.279,send,ble,GATT--DEMO ← BC0406000003E8000055 (sweep:hue)
2026-09-21 01:07:55.350,send,ble,GATT--DEMO ← BC0406000003E8000055 (sweep:hue)
2026-09-21 01:07:55.622,camera,ui,"hue=0° → rgb(246, 147, 150) hue 358° white 60%"
2026-09-21 01:07:55.626,sweep,ui,[1/12] BC0406000003E8000055 → 3 device(s)
2026-09-21 01:07:56.030,send,ble,GATT--DEMO ← BC0406001E03E8000055 (sweep:hue)
2026-09-21 01:07:56.105,send,ble,GATT--DEMO ← BC0406001E03E8000055 (sweep:hue)
2026-09-21 01:07:56.170,send,ble,GATT--DEMO ← BC0406001E03E8000055 (sweep:hue)
2026-09-21 01:07:56.388,camera,ui,"hue=30° → rgb(227, 224, 222) hue 23° white 98%"
2026-09-21 01:07:56.391,sweep,ui,[2/12] BC0406001E03E8000055 → 3 device(s)
2026-09-21 01:07:56.806,send,ble,GATT--DEMO ← BC0406003C03E8000055 (sweep:hue)
2026-09-21 01:07:56.864,send,ble,GATT--DEMO ← BC0406003C03E8000055 (sweep:hue)
2026-09-21 01:07:56.920,send,ble,GATT--DEMO ← BC0406003C03E8000055 (sweep:hue)
2026-09-21 01:07:57.155,camera,ui,"hue=60° → rgb(232, 247, 239) hue 146° white 94%"
2026-09-21 01:07:57.160,sweep,ui,[3/12] BC0406003C03E8000055 → 3 device(s)
2026-09-21 01:07:57.571,send,ble,GATT--DEMO ← BC0406005A03E8000055 (sweep:hue)
2026-09-21 01:07:57.631,send,ble,GATT--DEMO ← BC0406005A03E8000055 (sweep:hue)
2026-09-21 01:07:57.698,send,ble,GATT--DEMO ← BC0406005A03E8000055 (sweep:hue)
2026-09-21 01:07:57.897,camera,ui,"hue=90° → rgb(233, 248, 238) hue 139° white 94%"
2026-09-21 01:07:57.902,sweep,ui,[4/12] BC0406005A03E8000055 → 3 device(s)
2026-09-21 01:07:58.313,send,ble,GATT--DEMO ← BC0406007803E8000055 (sweep:hue)
